# code,name,lat,lon,apt,type,country code
ACA04, , 16.8211, -99.5928, MMAA, Terminal, MX
ACA05, , 16.7298, -99.6723, MMAA, Terminal, MX
ACA06, , 16.7747, -99.8744, MMAA, Terminal, MX
ACA07, , 16.7907, -99.8709, MMAA, Terminal, MX
ACA08, , 16.676, -99.6444, MMAA, Terminal, MX
ACA09, , 16.6045, -99.62, MMAA, Terminal, MX
ACA10, , 16.7183, -99.6397, MMAA, Terminal, MX
ACA11, , 16.6302, -99.6423, MMAA, Terminal, MX
ACA12, , 16.7967, -99.9588, MMAA, Terminal, MX
ACA13, , 16.8062, -100.01, MMAA, Terminal, MX
ACA14, , 16.7011, -99.5907, MMAA, Terminal, MX
ACA15, , 16.8276, -100.0047, MMAA, Terminal, MX
ACA16, , 16.9526, -99.6999, MMAA, Terminal, MX
ACA17, , 17.0334, -99.6774, MMAA, Terminal, MX
ACA18, , 16.7479, -99.724, MMAA, Terminal, MX
ACA19, , 16.9035, -99.667, MMAA, Terminal, MX
ACA20, , 16.6437, -99.4275, MMAA, Terminal, MX
ACA21, , 16.976, -99.6235, MMAA, Terminal, MX
ACA22, , 17.005, -99.606, MMAA, Terminal, MX
ACA23, , 16.7108, -99.8651, MMAA, Terminal, MX
ACA24, , 16.9325, -99.6496, MMAA, Terminal, MX
ACA26, , 16.7526, -99.9277, MMAA, Terminal, MX
ACA27, , 16.7808, -99.8734, MMAA, Terminal, MX
ACA30, , 16.7126, -99.6233, MMAA, Terminal, MX
ACA31, , 16.9536, -99.9182, MMAA, Terminal, MX
ACA35, , 17.0097, -99.754, MMAA, Terminal, MX
ACA37, , 16.9796, -99.9401, MMAA, Terminal, MX
ACA41, , 16.7126, -99.6234, MMAA, Terminal, MX
ACA43, , 16.7344, -99.6708, MMAA, Terminal, MX
ACA44, , 16.7493, -99.7242, MMAA, Terminal, MX
ACA50, , 16.7326, -99.6714, MMAA, Terminal, MX
ACA52, , 16.9259, -99.754, MMAA, Terminal, MX
ACA57, , 17.0011, -99.6864, MMAA, Terminal, MX
ACA70, , 16.7882, -99.8662, MMAA, Terminal, MX
ACA71, , 16.9202, -99.7089, MMAA, Terminal, MX
ACA72, , 16.7748, -99.8745, MMAA, Terminal, MX
ACA75, , 16.7815, -99.8375, MMAA, Terminal, MX
ACA78, , 16.777, -99.4765, MMAA, Terminal, MX
ACA80, , 16.7186, -99.6202, MMAA, Terminal, MX
ACA81, , 16.7668, -99.784, MMAA, Terminal, MX
ACA86, , 16.8605, -99.9923, MMAA, Terminal, MX
ACA96, , 16.7771, -99.8917, MMAA, Terminal, MX
ACA97, , 16.6724, -99.5091, MMAA, Terminal, MX
ACA98, , 16.8046, -99.9211, MMAA, Terminal, MX
ACA99, , 16.7261, -99.637, MMAA, Terminal, MX
ACARI, , 1.9572, -56.489, SMAZ, High Level, NS
ACAYU, , 50.0445, 8.2981, ETOU, Terminal, GM
ACC, , 5.6341, -0.1553, DGAC, High and Low Level, GH
ACD, , 40.5857, -3.6765, LEGT, Terminal, SP
ACEDO, , 1.8161, -75.8822, SKED, Low Level, CO
ACENA, , -9.2052, -46.0858, SBAO, RNAV, BR
ACJ, , -10.984, -37.0714, SBRE, High and Low Level, BR
ACKIN, , 54.9583, -115.4733, CZEG, Low Level, CA
ACKSO, , 45.6519, -61.1264, CZQM, Terminal, CA
ACMEE, , 22.1744, -75.0564, MYNN, High and Low Level, BF
ACO, , -16.2436, -73.5786, SPIM, High and Low Level, PE
ACO59, , 42.0487, -81.5877, CZYZ, Low Level, CA
ACOLI, , 31.3617, -106.0592, KELP, Terminal, MX
ACORA, , 13.6567, -67.5, TNCF, High and Low Level, NT
ACQUA, , 35.1625, 142.1638, RJTG, High and Low Level, JA
ACREW, , 25.9102, -97.6625, MMFR, Low Level, MX
ACREZ, , -7.4231, 72.5688, FJDG, Terminal, IO
ACRID, , -16.9386, -39.5476, SBRE, RNAV, BR
ACTUS, , 44.6918, 18.3964, LQTZ, Terminal, BK
ACUGE, , 29.5915, 47.4331, OKDI, Terminal, KU
AD, , -34.9469, 138.5244, YMMM, High and Low Level, AS
AD, , -0.3492, 102.3355, WIIZ, High and Low Level, ID
AD, , 5.2772, -3.9193, DIII, High and Low Level, IV
AD, , 38.005, 58.3067, UTAA, Terminal, TX
AD, , 55.9867, 37.5017, UUEE, Terminal, RS
AD001, , -34.9656, 138.5041, YPAD, Terminal, AS
AD005, , -35.009, 138.4565, YPAD, Terminal, AS
AD007, , -34.8782, 138.6392, YPAD, Terminal, AS
AD008, , -35.0075, 138.6692, YPAD, Terminal, AS
AD010, , -35.071, 138.3885, YPAD, Terminal, AS
AD011, , -35.0338, 138.4293, YPAD, Terminal, AS
AD015, , -35.0604, 138.796, YPAD, Terminal, AS
AD019, , -35.0916, 138.4228, YPAD, Terminal, AS
AD022, , -35.045, 138.3601, YPAD, Terminal, AS
AD035, , -34.9126, 138.5818, YPAD, Terminal, AS
AD042, , -34.8985, 138.6039, YPAD, Terminal, AS
AD055, , -34.829, 138.7928, YPAD, Terminal, AS
AD070, , -34.8702, 138.4174, YPAD, Terminal, AS
AD075, , -34.9117, 138.8257, YPAD, Terminal, AS
AD088, , -34.9684, 138.8277, YPAD, Terminal, AS
AD100, , -34.8373, 138.3715, YPAD, Terminal, AS
AD102, , -35.0282, 138.8125, YPAD, Terminal, AS
AD110, , -35.0227, 138.7054, YPAD, Terminal, AS
AD118, , -35.0904, 138.7742, YPAD, Terminal, AS
AD140, , -35.157, 138.6906, YPAD, Terminal, AS
AD270, , -34.9264, 138.3231, YPAD, Terminal, AS
AD290, , -34.871, 138.3438, YPAD, Terminal, AS
AD304, , -34.8921, 138.4479, YPAD, Terminal, AS
AD318, , -34.8101, 138.4083, YPAD, Terminal, AS
AD330, , -34.7931, 138.4453, YPAD, Terminal, AS
AD470, , -34.8486, 138.6884, YPAD, Terminal, AS
AD500, , -34.9848, 138.6149, YPAD, Terminal, AS
AD700, , -35.0, 138.6511, YPAD, Terminal, AS
ADA, , -22.8128, -42.0953, SBBS, High and Low Level, BR
